block_id,n_events,n_distinct_events,warn_err_ratio,evt_0,evt_1,evt_2,evt_3,evt_4,evt_5,evt_6,evt_7,evt_8,evt_9,evt_10,label
blk_0223883293,5,5,1.0,1,0,1,0,1,0,1,1,0,0,0,1
blk_0226330654,4,4,0.25,0,1,1,0,1,0,1,0,0,0,0,0
blk_0226511393,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0234407740,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0235875917,4,4,0.25,0,1,1,1,0,0,1,0,0,0,0,0
blk_0242106779,5,5,0.6,0,1,1,1,1,0,1,0,0,0,0,0
blk_0249584386,4,4,0.5,0,0,1,1,1,0,0,1,0,0,0,0
blk_0252524716,4,4,0.25,0,1,1,1,1,0,0,0,0,0,0,0
blk_0256053460,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0258792055,4,4,0.25,0,1,1,0,1,0,1,0,0,0,0,0
blk_0261151354,5,5,0.4,0,0,1,1,1,0,1,1,0,0,0,0
blk_0262543177,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0263231084,4,4,0.0,0,0,1,1,1,0,0,1,0,0,0,0
blk_0273543121,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_0276695345,4,4,0.0,0,1,0,1,1,0,1,0,0,0,0,0
blk_0278278713,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0280818276,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0281985501,4,4,0.75,0,1,0,1,1,0,1,0,0,0,0,0
blk_0284369241,4,4,0.25,0,1,1,1,1,0,0,0,0,0,0,0
blk_0293388786,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0298468446,5,5,0.8,0,0,1,0,1,1,1,1,0,0,0,1
blk_0299943651,5,5,0.0,0,0,1,1,1,0,1,1,0,0,0,0
blk_0304411469,5,5,0.6,0,0,1,1,1,0,1,1,0,0,0,0
blk_0310873246,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_0312505339,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_0319088751,5,5,0.2,0,1,1,1,1,0,1,0,0,0,0,0
blk_0327866709,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_0332216417,5,5,0.2,0,1,1,1,0,0,1,1,0,0,0,0
blk_0333134971,4,4,0.5,0,1,1,1,0,0,1,0,0,0,0,0
blk_0336332752,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_0357132958,4,4,0.0,0,1,0,0,1,0,1,1,0,0,0,0
blk_0363564215,4,4,0.25,0,0,1,1,0,0,1,1,0,0,0,0
blk_0364752042,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_0381707040,5,5,0.2,0,1,0,1,1,0,1,1,0,0,0,0
blk_0382146421,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_0383281360,5,5,0.2,0,1,0,1,1,0,1,1,0,0,0,0
blk_0392579822,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0412741967,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0420741752,4,4,0.0,0,1,0,1,0,0,1,1,0,0,0,0
blk_0423497717,4,4,0.5,0,1,1,0,1,0,0,1,0,0,0,0
blk_0423804914,7,7,0.7142857142857143,0,1,1,1,1,1,1,0,1,0,0,1
blk_0428874667,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0431167727,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0431605966,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0437940184,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0440038146,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_0440242969,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0441989496,8,8,0.625,0,1,1,1,1,1,1,1,0,0,1,1
blk_0451527814,5,5,0.4,0,1,1,1,1,0,1,0,0,0,0,0
blk_0453391783,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0457377191,5,5,0.2,0,0,1,1,1,0,1,1,0,0,0,0
blk_0466202235,5,5,0.0,0,1,0,1,1,0,1,1,0,0,0,0
blk_0480339101,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_0481490294,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0483324241,4,4,0.0,0,1,1,1,0,0,0,1,0,0,0,0
blk_0489136129,4,4,0.25,0,1,1,1,0,0,1,0,0,0,0,0
blk_0502262785,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0503104660,5,5,0.2,0,0,1,1,1,0,1,1,0,0,0,0
blk_0507753276,5,5,0.2,0,1,1,0,1,0,1,1,0,0,0,0
blk_0509672443,4,4,0.0,0,1,1,1,1,0,0,0,0,0,0,0
blk_0509800875,4,4,0.25,0,1,1,1,0,0,1,0,0,0,0,0
blk_0520120001,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0521287239,5,5,0.0,0,1,1,1,1,0,1,0,0,0,0,0
blk_0528295521,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0557840969,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_0561237528,5,5,0.2,0,1,0,1,1,0,1,1,0,0,0,0
blk_0570387980,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0582671834,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0586627154,4,4,0.0,0,0,1,1,0,0,1,1,0,0,0,0
blk_0599221851,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_0600936771,5,5,0.4,0,0,1,1,1,0,1,1,0,0,0,0
blk_0601375429,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0604911102,4,4,0.25,0,1,1,0,0,0,1,1,0,0,0,0
blk_0609243116,4,4,0.5,0,1,1,0,1,0,0,1,0,0,0,0
blk_0613329223,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0617062215,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0618803534,5,5,0.4,0,1,1,1,1,0,1,0,0,0,0,0
blk_0632653434,4,4,0.25,0,1,0,1,0,0,1,1,0,0,0,0
blk_0633608745,4,4,0.0,0,1,1,0,1,0,0,1,0,0,0,0
blk_0633848179,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0640082855,5,5,0.2,0,1,1,1,0,0,1,1,0,0,0,0
blk_0644634257,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_0645156311,5,5,0.0,0,1,1,1,1,0,1,0,0,0,0,0
blk_0657754703,4,4,0.5,0,1,0,1,1,0,1,0,0,0,0,0
blk_0666345323,6,6,0.6666666666666666,0,0,1,1,1,0,1,1,0,0,1,1
blk_0682162245,5,5,1.0,1,1,1,1,0,0,0,0,0,0,1,1
blk_0682171415,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0684392813,5,5,0.6,1,0,1,0,1,0,1,1,0,0,0,1
blk_0689509900,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_0695298507,5,5,0.2,0,1,1,1,1,0,1,0,0,0,0,0
blk_0706508937,5,5,0.6,0,1,1,1,1,0,0,1,0,0,0,0
blk_0710015927,5,5,0.0,0,1,1,1,1,0,0,1,0,0,0,0
blk_0711635050,5,5,0.2,0,1,1,1,0,0,1,1,0,0,0,0
blk_0712016198,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0713496365,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0714203635,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0725183167,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0729101423,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0729882464,4,4,0.25,0,0,1,1,1,0,1,0,0,0,0,0
blk_0739129579,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0748310729,4,4,0.0,0,1,0,1,0,0,1,1,0,0,0,0
blk_0751886393,5,5,0.8,0,1,1,1,0,0,1,0,0,0,1,1
blk_0752431518,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0757412451,4,4,0.25,0,1,1,1,1,0,0,0,0,0,0,0
blk_0758587681,4,4,0.25,0,0,0,1,1,0,1,1,0,0,0,0
blk_0766270445,7,6,0.42857142857142855,0,1,1,0,1,0,1,1,0,2,0,1
blk_0795641328,5,5,0.0,0,1,0,1,1,0,1,1,0,0,0,0
blk_0798629508,4,4,0.25,0,1,1,1,1,0,0,0,0,0,0,0
blk_0799657742,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_0806445651,5,5,0.4,0,1,1,1,0,0,1,1,0,0,0,0
blk_0810431452,5,5,0.0,0,0,1,1,1,0,1,1,0,0,0,0
blk_0824049940,7,7,0.8571428571428571,1,1,1,1,0,1,1,1,0,0,0,1
blk_0836092548,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0836432072,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_0838755864,5,5,0.6,0,0,0,0,1,1,1,1,0,1,0,1
blk_0839299063,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0841630636,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0842127462,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0842190268,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0848115962,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0851902096,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0852324953,4,4,0.25,0,1,0,1,1,0,0,1,0,0,0,0
blk_0860318355,5,5,0.2,0,1,1,1,1,0,1,0,0,0,0,0
blk_0861279237,4,4,0.25,0,0,0,1,1,0,1,1,0,0,0,0
blk_0861286533,4,4,0.25,0,1,0,1,1,0,1,0,0,0,0,0
blk_0861620050,4,4,0.0,0,0,1,1,0,0,1,1,0,0,0,0
blk_0863203606,4,4,0.5,0,1,1,1,0,0,0,1,0,0,0,0
blk_0867344255,4,4,0.25,0,1,0,1,1,0,1,0,0,0,0,0
blk_0885021510,4,4,0.25,0,1,0,1,0,0,1,1,0,0,0,0
blk_0895118327,4,4,0.5,0,1,1,1,0,0,0,1,0,0,0,0
blk_0906422224,4,4,0.5,0,0,1,1,1,0,1,0,0,0,0,0
blk_0908688778,5,5,0.4,0,0,1,1,0,0,1,1,0,1,0,1
blk_0911497800,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0922929194,5,5,0.2,0,1,1,0,1,0,1,1,0,0,0,0
blk_0923472848,5,5,0.4,0,1,1,0,1,0,1,1,0,0,0,0
blk_0928986707,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0935771311,4,4,0.5,0,0,1,1,1,0,0,1,0,0,0,0
blk_0937695483,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_0956831409,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_0958326726,5,5,0.4,0,1,1,1,1,0,1,0,0,0,0,0
blk_0960257924,5,5,0.0,0,1,1,1,1,0,1,0,0,0,0,0
blk_0961448023,6,6,0.6666666666666666,1,1,1,1,1,0,1,0,0,0,0,1
blk_0975772600,4,4,0.5,0,0,1,1,1,0,0,1,0,0,0,0
blk_0978963168,4,4,0.25,0,1,0,1,0,0,1,1,0,0,0,0
blk_0985059262,5,5,0.2,0,1,1,0,1,0,1,1,0,0,0,0
blk_0990544120,5,5,0.6,0,0,1,1,1,0,1,1,0,0,0,0
blk_0994217846,5,5,0.2,0,0,1,1,1,0,1,1,0,0,0,0
blk_1000860908,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1004146929,5,5,0.4,0,0,1,1,1,0,1,1,0,0,0,0
blk_1011652671,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1015377625,5,5,0.0,0,1,1,0,1,0,1,1,0,0,0,0
blk_1018879286,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_1021834066,4,4,0.75,0,1,0,0,1,0,1,1,0,0,0,0
blk_1030049089,4,4,0.25,0,1,1,1,1,0,0,0,0,0,0,0
blk_1030626345,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1037382789,4,4,0.0,0,1,1,0,1,0,1,0,0,0,0,0
blk_1037717736,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1046172470,4,4,0.5,0,1,0,0,1,0,1,1,0,0,0,0
blk_1047951064,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1049834477,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1061067402,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1061260868,5,5,0.0,0,1,1,1,1,0,1,0,0,0,0,0
blk_1061295760,8,8,0.75,1,1,1,1,1,0,1,1,0,1,0,1
blk_1061701751,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_1064472445,4,4,0.75,0,1,1,0,0,0,1,1,0,0,0,0
blk_1065641165,5,5,0.4,0,1,1,1,1,0,1,0,0,0,0,0
blk_1065992718,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1067174325,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1070590506,5,5,0.2,0,1,1,1,0,0,1,1,0,0,0,0
blk_1075279682,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_1081705354,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_1099825570,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1112920201,4,4,0.25,0,1,0,0,1,0,1,1,0,0,0,0
blk_1121664072,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_1123795167,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1132640136,6,6,0.6666666666666666,0,1,0,0,1,1,1,1,0,1,0,1
blk_1133775374,4,4,0.0,0,1,1,1,1,0,0,0,0,0,0,0
blk_1137999534,4,4,0.0,0,1,0,1,1,0,1,0,0,0,0,0
blk_1138799415,4,4,0.0,0,0,1,1,0,0,1,1,0,0,0,0
blk_1145322925,4,4,0.0,0,1,1,1,1,0,0,0,0,0,0,0
blk_1157426821,5,5,0.0,0,1,1,1,1,0,0,1,0,0,0,0
blk_1157670690,5,5,0.2,0,1,1,1,1,0,0,1,0,0,0,0
blk_1160744695,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1162966620,4,4,0.0,0,0,1,1,1,0,0,1,0,0,0,0
blk_1176252263,6,6,0.6666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1179435731,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1182733062,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1185687973,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1187643785,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1187925560,5,5,0.4,0,0,1,1,1,0,1,1,0,0,0,0
blk_1190317328,5,5,0.2,0,0,1,1,1,0,1,1,0,0,0,0
blk_1214638416,4,4,0.0,0,0,1,1,1,0,0,1,0,0,0,0
blk_1218685557,4,4,0.25,0,1,0,1,1,0,1,0,0,0,0,0
blk_1219316022,5,5,0.2,0,1,1,1,1,0,1,0,0,0,0,0
blk_1220887175,4,4,0.5,0,1,1,1,0,0,0,1,0,0,0,0
blk_1240592027,4,4,0.5,0,0,0,1,1,0,1,1,0,0,0,0
blk_1242474559,5,5,0.0,0,1,0,1,1,0,1,1,0,0,0,0
blk_1248420191,4,4,0.25,0,0,1,1,1,0,1,0,0,0,0,0
blk_1260197424,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1272357901,4,4,0.25,0,1,1,0,1,0,1,0,0,0,0,0
blk_1276565466,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1280962745,5,5,0.4,0,1,1,1,1,0,1,0,0,0,0,0
blk_1289202936,4,4,0.25,0,0,1,1,1,0,1,0,0,0,0,0
blk_1291918315,6,6,0.5,1,1,0,1,0,0,1,1,0,1,0,1
blk_1297684444,4,4,0.5,0,0,0,1,1,0,1,1,0,0,0,0
blk_1301894574,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1315183658,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1315901308,4,4,0.25,0,1,1,1,0,0,1,0,0,0,0,0
blk_1324194973,6,6,0.8333333333333334,0,1,1,0,0,0,1,1,0,1,1,1
blk_1339398461,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1351295621,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1353655264,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1358013317,5,5,0.2,0,0,1,1,1,0,1,1,0,0,0,0
blk_1360882202,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1362335442,5,5,0.4,0,1,1,1,0,0,1,1,0,0,0,0
blk_1364192285,4,4,0.25,0,1,1,0,1,0,1,0,0,0,0,0
blk_1364842641,4,4,0.0,0,0,0,1,1,0,1,1,0,0,0,0
blk_1367127646,5,5,0.0,0,1,1,1,0,0,1,1,0,0,0,0
blk_1371555255,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1372560409,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1376524796,4,4,0.25,0,1,1,0,0,0,1,1,0,0,0,0
blk_1389264618,4,4,0.5,0,1,0,1,1,0,1,0,0,0,0,0
blk_1398225078,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1401211033,6,6,0.6666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1404826533,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1405851133,4,4,0.0,0,1,1,1,0,0,0,1,0,0,0,0
blk_1410435426,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1430075522,5,5,0.0,0,1,1,1,1,0,1,0,0,0,0,0
blk_1432770293,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1433140554,4,4,0.25,0,1,0,1,1,0,1,0,0,0,0,0
blk_1444775447,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1449103466,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1452556932,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1454908527,4,4,0.25,0,1,0,1,1,0,1,0,0,0,0,0
blk_1458944148,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1476309278,4,4,0.0,0,1,0,0,1,0,1,1,0,0,0,0
blk_1476425365,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_1481010157,5,5,0.6,0,1,1,0,1,0,1,1,0,0,0,0
blk_1483985792,4,4,0.0,0,0,1,1,1,0,1,0,0,0,0,0
blk_1492430052,4,4,0.0,0,1,1,0,1,0,0,1,0,0,0,0
blk_1495664634,4,4,0.5,0,0,1,1,1,0,0,1,0,0,0,0
blk_1513103123,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1514835122,5,5,0.0,0,1,1,0,1,0,1,1,0,0,0,0
blk_1519767560,4,4,0.25,0,0,1,0,1,0,1,1,0,0,0,0
blk_1520183765,5,5,0.0,0,0,1,1,1,0,1,1,0,0,0,0
blk_1525302722,5,5,0.6,0,0,1,1,1,0,1,1,0,0,0,0
blk_1533144957,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1536211239,5,5,0.0,0,1,0,1,1,0,1,1,0,0,0,0
blk_1537741886,5,5,0.2,0,0,1,1,1,0,1,1,0,0,0,0
blk_1539155428,5,5,0.2,0,1,0,1,1,0,1,1,0,0,0,0
blk_1571078372,4,4,0.5,0,0,0,1,1,0,1,1,0,0,0,0
blk_1572367741,5,5,0.0,0,0,1,1,1,0,1,1,0,0,0,0
blk_1581300782,5,5,0.4,0,0,1,1,1,0,1,1,0,0,0,0
blk_1583325226,4,4,0.25,0,1,1,0,1,0,0,1,0,0,0,0
blk_1584280981,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1588042181,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_1592169284,5,5,0.4,0,1,0,1,1,0,1,1,0,0,0,0
blk_1595907659,4,4,0.25,0,0,1,1,1,0,0,1,0,0,0,0
blk_1596842298,5,4,0.6,0,0,0,0,1,0,1,1,0,0,2,1
blk_1598904724,4,4,0.5,0,0,1,1,1,0,1,0,0,0,0,0
blk_1604324097,4,4,0.0,0,1,1,0,0,0,1,1,0,0,0,0
blk_1605484051,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1608344668,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
blk_1610980394,6,6,0.0,0,1,1,1,1,0,1,1,0,0,0,0
blk_1611713004,4,4,0.75,0,1,0,1,1,0,0,1,0,0,0,0
blk_1614563369,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1629692815,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1632404836,5,5,0.4,0,0,1,1,1,0,1,1,0,0,0,0
blk_1634521588,5,4,0.6,0,1,0,1,0,0,1,0,2,0,0,1
blk_1655258769,4,4,0.25,0,0,0,1,1,0,1,1,0,0,0,0
blk_1658843143,4,4,0.5,0,1,1,0,1,0,1,0,0,0,0,0
blk_1664434094,4,4,0.25,0,0,0,1,1,0,1,1,0,0,0,0
blk_1667230969,5,5,0.2,0,1,1,1,1,0,1,0,0,0,0,0
blk_1667816779,6,6,0.3333333333333333,0,1,1,1,1,0,1,1,0,0,0,0
blk_1668613946,6,6,0.5,0,1,0,1,1,0,1,1,0,1,0,1
blk_1675938504,5,5,0.4,0,1,1,1,1,0,0,1,0,0,0,0
blk_1684548895,5,5,0.2,0,0,1,1,1,0,1,1,0,0,0,0
blk_1685411411,4,4,0.5,0,1,0,0,1,0,1,1,0,0,0,0
blk_1687939493,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1696445011,6,6,0.16666666666666666,0,1,1,1,1,0,1,1,0,0,0,0
blk_1711060698,5,5,0.0,0,1,1,0,1,0,1,1,0,0,0,0
blk_1721492836,6,6,0.5,0,1,1,1,1,0,1,1,0,0,0,0
